city_id,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,Comodoro Rivadavia,0,AR,1619126552,54,-45.8667,-67.5,55.4,5.88
1,Butaritari,56,KI,1619126554,74,3.0707,172.7902,82.56,11.23
2,Nikolskoye,90,RU,1619126555,93,59.7035,30.7861,45.0,4.47
3,Pozo Colorado,100,PY,1619126557,31,-23.4923,-58.7972,87.48,4.92
4,Punta Arenas,75,CL,1619126540,87,-53.15,-70.9167,48.2,6.91
5,Adrar,0,MR,1619126260,11,20.5022,-10.0711,83.03,10.42
6,New Norfolk,69,AU,1619126561,62,-42.7826,147.0587,52.0,3.0
7,Vaini,40,TO,1619126563,84,-21.2,-175.2,84.2,5.75
8,Sobolevo,78,RU,1619126242,92,54.4299,31.8996,44.98,6.46
9,Kavaratti,97,IN,1619126565,69,10.5669,72.642,83.57,8.03
10,Qui Nhon,91,VN,1619126567,91,13.7667,109.2333,77.41,4.94
11,Mattru,96,SL,1619126568,90,7.6244,-11.8332,78.44,3.49
12,Palmer,40,US,1619126526,27,42.1584,-72.3287,46.4,26.46
13,North Platte,90,US,1619126571,43,41.1239,-100.7654,53.6,13.8
14,Busselton,98,AU,1619126573,83,-33.65,115.3333,57.0,3.0
15,Nagorsk,100,RU,1619126574,91,59.3172,50.8078,42.1,9.33
16,Ushuaia,75,AR,1619126475,93,-54.8,-68.3,44.6,11.5
17,George Town,40,MY,1619126281,94,5.4112,100.3354,78.8,2.3
18,Buriti,75,BR,1619126578,68,-22.9302,-45.3881,69.8,3.44
19,Hobart,75,AU,1619126355,71,-42.8794,147.3294,52.0,1.14
20,Dawei,94,MM,1619126580,80,14.0833,98.2,78.8,2.01
21,Chicama,20,PE,1619126582,83,-7.8447,-79.1469,68.0,13.8
22,Havelock,1,US,1619126583,25,34.8791,-76.9013,61.0,13.8
23,Bluff,100,NZ,1619126585,97,-46.6,168.3333,46.99,5.99
24,Pachino,75,IT,1619126586,72,36.7186,15.0907,60.8,4.61
25,Mataura,96,NZ,1619126588,97,-46.1927,168.8643,46.99,5.99
26,Grand Gaube,100,MU,1619126589,87,-20.0064,57.6608,75.99,1.99
27,Leningradskiy,86,RU,1619126591,72,69.3833,178.4167,32.02,3.47
28,Novouzensk,98,RU,1619126592,89,50.4592,48.1431,46.4,7.61
29,Meulaboh,84,ID,1619126594,88,4.1363,96.1285,76.46,3.09
30,Upernavik,99,GL,1619126595,84,72.7868,-56.1549,27.54,7.45
31,Rikitea,75,PF,1619126509,75,-23.1203,-134.9692,77.97,17.87
32,Iqaluit,90,CA,1619126598,74,63.7506,-68.5145,23.0,5.75
33,Bathsheba,20,BB,1619126260,57,13.2167,-59.5167,82.4,20.71
34,Dikson,100,RU,1619126600,90,73.5069,80.5464,29.19,23.26
35,Lompoc,25,US,1619126338,71,34.6391,-120.4579,55.4,10.36
36,Quatre Cocos,75,MU,1619126603,94,-20.2078,57.7625,77.0,5.75
37,Stuttgart,0,DE,1619126316,39,48.7823,9.177,46.4,5.75
38,Kirakira,100,SB,1619126573,80,-10.4544,161.9205,81.81,5.39
39,Bengkulu,82,ID,1619126607,88,-3.8004,102.2655,73.94,3.53
40,Saldanha,0,ZA,1619126552,82,-33.0117,17.9442,60.8,3.44
41,Port Elizabeth,0,ZA,1619126397,88,-33.918,25.5701,64.4,13.8
42,Edson,75,CA,1619126611,59,53.5835,-116.4356,28.4,6.91
43,Ahipara,98,NZ,1619126612,81,-35.1667,173.1667,63.52,6.6
44,Abramovka,80,RU,1619126614,71,51.1886,41.0202,49.8,6.46
45,Yellowknife,75,CA,1619126615,49,62.456,-114.3525,17.6,21.85
46,Lebu,81,CL,1619126616,63,-37.6167,-73.65,55.83,5.17
47,Ucluelet,20,CA,1619126400,71,48.9329,-125.5528,59.0,4.61
48,East London,96,ZA,1619126514,79,-33.0153,27.9116,68.18,12.3
49,Lindi,20,TZ,1619126620,94,-10.0,39.7167,75.2,13.8
50,Hithadhoo,45,MV,1619126474,73,-0.6,73.0833,82.63,7.56
51,Arraial do Cabo,20,BR,1619126230,88,-22.9661,-42.0278,71.6,17.27
52,Touros,40,BR,1619126624,78,-5.1989,-35.4608,80.6,11.5
53,Leshukonskoye,100,RU,1619126541,96,64.8989,45.7622,36.7,7.0
54,Okmulgee,90,US,1619126627,39,35.6234,-95.9605,60.8,13.8
55,Beringovskiy,37,RU,1619126294,80,63.05,179.3167,21.24,7.18
56,Hervey Bay,100,AU,1619126630,73,-25.2986,152.8535,62.01,1.01
57,Hermanus,0,ZA,1619126554,78,-34.4187,19.2345,68.0,1.99
58,Inhambane,20,MZ,1619126632,75,-23.865,35.3833,70.48,6.29
59,Saskylakh,100,RU,1619126634,97,71.9167,114.0833,4.37,5.41
60,Tuktoyaktuk,40,CA,1619126523,72,69.4541,-133.0374,10.4,9.22
61,Carnarvon,75,AU,1619126636,60,-24.8667,113.6333,68.0,10.36
62,Chui,13,UY,1619126522,75,-33.6971,-53.4616,67.06,13.09
63,Bowen,90,AU,1619126584,73,-20.0167,148.2333,73.4,6.91
64,Castro,100,BR,1619126640,81,-24.7911,-50.0119,59.54,3.02
65,Changji,0,CN,1619126641,56,44.0167,87.3167,41.0,4.47
66,Banda Aceh,98,ID,1619126643,80,5.5577,95.3222,80.19,9.93
67,Pevek,39,RU,1619126533,70,69.7008,170.3133,19.6,11.23
68,Menongue,85,AO,1619126225,57,-14.6585,17.691,67.93,6.26
69,Mezinovskiy,27,RU,1619126647,86,55.5042,40.3593,43.75,7.49
70,Longyearbyen,75,SJ,1619126516,62,78.2186,15.6401,17.6,3.44
71,Avarua,20,CK,1619126519,89,-21.2078,-159.775,78.8,17.27
72,Saint-Joseph,90,RE,1619126651,83,-21.3667,55.6167,77.0,17.27
73,São Filipe,44,CV,1619126652,71,14.8961,-24.4956,73.24,11.05
74,Kahului,40,US,1619126263,48,20.8947,-156.47,84.2,19.57
75,Pedernales,71,DO,1619126655,63,18.0384,-71.744,82.63,8.43
76,Ryōtsu-minato,40,JP,1619126656,87,38.0833,138.4333,46.4,4.61
77,Albany,88,US,1619126461,33,42.6001,-73.9662,42.01,1.99
78,Qaanaaq,98,GL,1619126659,78,77.484,-69.3632,19.29,12.46
79,Provideniya,0,RU,1619126660,56,64.3833,-173.3,37.4,15.66
80,Balabac,100,PH,1619126662,81,7.9868,117.0645,80.22,9.6
81,Arman',100,RU,1619126663,96,59.7,150.1667,29.84,4.0
82,Kattivākkam,40,IN,1619126453,83,13.2167,80.3167,82.4,4.61
83,Tura,70,IN,1619126666,65,25.5198,90.2201,69.89,0.89
84,Atuona,59,PF,1619126667,76,-9.8,-139.0333,80.8,20.85
85,Kwinana,100,AU,1619126669,72,-32.25,115.7667,66.0,8.05
86,Kapaa,20,US,1619126670,69,22.0752,-159.319,80.6,11.5
87,Punta de Bombón,50,PE,1619126672,75,-17.1717,-71.7931,69.76,8.52
88,Rocha,23,UY,1619126572,78,-34.4833,-54.3333,65.01,7.76
89,Lavrentiya,98,RU,1619126675,61,65.5833,-171.0,31.01,0.69
90,San Miguel,0,SV,1619126676,34,13.4833,-88.1833,100.4,3.44
91,Starobaltachevo,100,RU,1619126677,97,56.0013,55.9213,35.62,11.05
92,Port Alfred,75,ZA,1619126558,77,-33.5906,26.891,68.47,19.06
93,Geraldton,100,AU,1619126680,77,-28.7667,114.6,64.4,6.91
94,Nishihara,90,JP,1619126681,94,26.1842,127.7558,71.6,23.02
95,Kloulklubed,40,PW,1619126233,94,7.0419,134.2556,75.2,4.25
96,Wenling,96,CN,1619126684,90,28.3669,121.36,69.01,6.4
97,Sitka,1,US,1619126685,50,57.0531,-135.33,50.0,8.05
98,Manzhouli,31,CN,1619126687,49,49.6,117.4333,36.34,20.56
99,Bredasdorp,2,ZA,1619126688,94,-34.5322,20.0403,55.4,3.44
100,Jamestown,90,US,1619126508,93,42.097,-79.2353,34.0,12.66
101,Malé,75,MV,1619126691,79,4.1748,73.5089,84.2,14.97
102,College,1,US,1619126658,29,64.8569,-147.8028,50.0,10.36
103,Capoeiras,83,BR,1619126694,82,-8.7347,-36.6267,70.47,5.28
104,Bubaque,51,GW,1619126249,67,11.2833,-15.8333,78.89,17.94
105,Tasiilaq,75,GL,1619126696,55,65.6145,-37.6368,30.2,16.11
106,Barrow,1,US,1619126469,79,71.2906,-156.7887,19.4,5.75
107,Mount Gambier,90,AU,1619126698,93,-37.8333,140.7667,50.0,4.61
108,Russell,1,US,1619126700,19,32.3502,-85.1999,68.0,5.17
109,Burgeo,100,CA,1619126702,97,47.6167,-57.6152,41.36,24.96
110,Oxford,0,GB,1619126706,57,51.7522,-1.256,48.2,5.75
111,Hilo,75,US,1619126634,51,19.7297,-155.09,82.4,8.05
112,Krasnosel'kup,84,RU,1619126709,92,65.7,82.4667,24.08,13.38
113,Manche,0,FR,1619126710,81,49.0,-1.1667,48.2,6.91
114,Naze,100,JP,1619126708,71,28.3667,129.4833,66.96,21.99
115,Makakilo City,75,US,1619126673,57,21.3469,-158.0858,84.2,13.8
116,Chokurdakh,99,RU,1619126564,98,70.6333,147.9167,-3.08,6.29
117,Floriano,50,BR,1619126446,84,-6.7669,-43.0225,78.44,2.98
118,Heze,40,CN,1619126716,94,35.2431,115.4411,48.11,7.09
119,Polyarnyye Zori,100,RU,1619126718,89,67.3661,32.4981,34.25,6.08
120,Tarko-Sale,57,RU,1619126475,79,64.9225,77.785,27.0,15.05
121,Berezovyy,100,RU,1619126721,66,51.6667,135.7,50.72,5.03
